Reporting level,Province,Indicator,Metric,Data year,Unit of measurement,Indicator result
Regional,Alberta,Hip Replacement,50th Percentile,2015,Days,79
Regional,Alberta,Hip Replacement,90th Percentile,2015,Days,198
Regional,Alberta,Hip Replacement,Volume,2015,Number of cases,109
Provincial,Alberta,Knee Replacement,% Meeting Benchmark,2015,Proportion,79
Provincial,Alberta,Knee Replacement,50th Percentile,2015,Days,106
Provincial,Alberta,Knee Replacement,90th Percentile,2015,Days,237
Provincial,Alberta,Knee Replacement,Volume,2015,Number of cases,3108
Regional,Alberta,Knee Replacement,% Meeting Benchmark,2015,Proportion,58
Regional,Alberta,Knee Replacement,50th Percentile,2015,Days,126
Regional,Alberta,Knee Replacement,90th Percentile,2015,Days,381
Regional,Alberta,Knee Replacement,Volume,2015,Number of cases,410
Regional,Alberta,Knee Replacement,% Meeting Benchmark,2015,Proportion,83
Regional,Alberta,Knee Replacement,50th Percentile,2015,Days,105
Regional,Alberta,Knee Replacement,90th Percentile,2015,Days,203
Regional,Alberta,Knee Replacement,Volume,2015,Number of cases,1172
Regional,Alberta,Knee Replacement,% Meeting Benchmark,2015,Proportion,91
Regional,Alberta,Knee Replacement,50th Percentile,2015,Days,82
Regional,Alberta,Knee Replacement,90th Percentile,2015,Days,164
Regional,Alberta,Knee Replacement,Volume,2015,Number of cases,322
Regional,Alberta,Knee Replacement,% Meeting Benchmark,2015,Proportion,79
Regional,Alberta,Knee Replacement,50th Percentile,2015,Days,110
Regional,Alberta,Knee Replacement,90th Percentile,2015,Days,230
Regional,Alberta,Knee Replacement,Volume,2015,Number of cases,987
Regional,Alberta,Knee Replacement,% Meeting Benchmark,2015,Proportion,73
Regional,Alberta,Knee Replacement,50th Percentile,2015,Days,98
Regional,Alberta,Knee Replacement,90th Percentile,2015,Days,238
Regional,Alberta,Knee Replacement,Volume,2015,Number of cases,217
Provincial,Alberta,Lung Cancer Surgery,50th Percentile,2015,Days,31
Provincial,Alberta,Lung Cancer Surgery,90th Percentile,2015,Days,62
Provincial,Alberta,Lung Cancer Surgery,Volume,2015,Number of cases,296
Provincial,Alberta,MRI Scan,50th Percentile,2015,Days,90
Provincial,Alberta,MRI Scan,90th Percentile,2015,Days,172
Provincial,Alberta,MRI Scan,Volume,2015,Number of cases,60651
Provincial,Alberta,Prostate Cancer Surgery,50th Percentile,2015,Days,43
Provincial,Alberta,Prostate Cancer Surgery,90th Percentile,2015,Days,109
Provincial,Alberta,Prostate Cancer Surgery,Volume,2015,Number of cases,546
Provincial,Alberta,Radiation Therapy,% Meeting Benchmark,2015,Proportion,98
Provincial,Alberta,Radiation Therapy,50th Percentile,2015,Days,7
Provincial,Alberta,Radiation Therapy,90th Percentile,2015,Days,20
Provincial,Alberta,Radiation Therapy,Volume,2015,Number of cases,3897
Provincial,British Columbia,Bladder Cancer Surgery,50th Percentile,2015,Days,22
Provincial,British Columbia,Bladder Cancer Surgery,90th Percentile,2015,Days,50
Provincial,British Columbia,Bladder Cancer Surgery,Volume,2015,Number of cases,1648
Provincial,British Columbia,Breast Cancer Surgery,50th Percentile,2015,Days,16
Provincial,British Columbia,Breast Cancer Surgery,90th Percentile,2015,Days,43
Provincial,British Columbia,Breast Cancer Surgery,Volume,2015,Number of cases,1795
Provincial,British Columbia,CABG,50th Percentile,2015,Days,6
Provincial,British Columbia,CABG,90th Percentile,2015,Days,69
Provincial,British Columbia,CABG,Volume,2015,Number of cases,1021
Provincial,British Columbia,Cataract Surgery,% Meeting Benchmark,2015,Proportion,64
Provincial,British Columbia,Cataract Surgery,50th Percentile,2015,Days,72
Provincial,British Columbia,Cataract Surgery,90th Percentile,2015,Days,249
Provincial,British Columbia,Cataract Surgery,Volume,2015,Number of cases,26757
Provincial,British Columbia,Colorectal Cancer Surgery,50th Percentile,2015,Days,21
Provincial,British Columbia,Colorectal Cancer Surgery,90th Percentile,2015,Days,56
Provincial,British Columbia,Colorectal Cancer Surgery,Volume,2015,Number of cases,1136
Provincial,British Columbia,CT Scan,50th Percentile,2015,Days,n/a
Provincial,British Columbia,CT Scan,90th Percentile,2015,Days,n/a
Provincial,British Columbia,CT Scan,Volume,2015,Number of cases,n/a
Provincial,British Columbia,Hip Fracture Repair,% Meeting Benchmark,2015,Proportion,91
Provincial,British Columbia,Hip Fracture Repair,50th Percentile,2015,Hours,24
Provincial,British Columbia,Hip Fracture Repair,90th Percentile,2015,Hours,47
Provincial,British Columbia,Hip Fracture Repair,Volume,2015,Number of cases,2206
Provincial,British Columbia,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2015,Proportion,n/a
Provincial,British Columbia,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2015,Hours,n/a
Provincial,British Columbia,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2015,Hours,n/a
Provincial,British Columbia,Hip Fracture Repair/Emergency and Inpatient,Volume,2015,Number of cases,n/a
Provincial,British Columbia,Hip Replacement,% Meeting Benchmark,2015,Proportion,61
Provincial,British Columbia,Hip Replacement,50th Percentile,2015,Days,140
Provincial,British Columbia,Hip Replacement,90th Percentile,2015,Days,359
Provincial,British Columbia,Hip Replacement,Volume,2015,Number of cases,2589
Regional,British Columbia,Hip Replacement,% Meeting Benchmark,2015,Proportion,49
Regional,British Columbia,Hip Replacement,50th Percentile,2015,Days,185
Regional,British Columbia,Hip Replacement,90th Percentile,2015,Days,573
Regional,British Columbia,Hip Replacement,Volume,2015,Number of cases,603
Regional,British Columbia,Hip Replacement,% Meeting Benchmark,2015,Proportion,66
Regional,British Columbia,Hip Replacement,50th Percentile,2015,Days,129
Regional,British Columbia,Hip Replacement,90th Percentile,2015,Days,316
Regional,British Columbia,Hip Replacement,Volume,2015,Number of cases,413
Regional,British Columbia,Hip Replacement,% Meeting Benchmark,2015,Proportion,77
Regional,British Columbia,Hip Replacement,50th Percentile,2015,Days,92
Regional,British Columbia,Hip Replacement,90th Percentile,2015,Days,247
Regional,British Columbia,Hip Replacement,Volume,2015,Number of cases,841
Regional,British Columbia,Hip Replacement,% Meeting Benchmark,2015,Proportion,42
Regional,British Columbia,Hip Replacement,50th Percentile,2015,Days,229
Regional,British Columbia,Hip Replacement,90th Percentile,2015,Days,407
Regional,British Columbia,Hip Replacement,Volume,2015,Number of cases,604
Regional,British Columbia,Hip Replacement,% Meeting Benchmark,2015,Proportion,79
Regional,British Columbia,Hip Replacement,50th Percentile,2015,Days,117
Regional,British Columbia,Hip Replacement,90th Percentile,2015,Days,230
Regional,British Columbia,Hip Replacement,Volume,2015,Number of cases,128
Provincial,British Columbia,Knee Replacement,% Meeting Benchmark,2015,Proportion,47
Provincial,British Columbia,Knee Replacement,50th Percentile,2015,Days,197
Provincial,British Columbia,Knee Replacement,90th Percentile,2015,Days,382
Provincial,British Columbia,Knee Replacement,Volume,2015,Number of cases,3800
Regional,British Columbia,Knee Replacement,% Meeting Benchmark,2015,Proportion,34
Regional,British Columbia,Knee Replacement,50th Percentile,2015,Days,241
Regional,British Columbia,Knee Replacement,90th Percentile,2015,Days,503
Regional,British Columbia,Knee Replacement,Volume,2015,Number of cases,830
Regional,British Columbia,Knee Replacement,% Meeting Benchmark,2015,Proportion,47
Regional,British Columbia,Knee Replacement,50th Percentile,2015,Days,197
Regional,British Columbia,Knee Replacement,90th Percentile,2015,Days,344
Regional,British Columbia,Knee Replacement,Volume,2015,Number of cases,900
Regional,British Columbia,Knee Replacement,% Meeting Benchmark,2015,Proportion,74
Regional,British Columbia,Knee Replacement,50th Percentile,2015,Days,80
Regional,British Columbia,Knee Replacement,90th Percentile,2015,Days,274
Regional,British Columbia,Knee Replacement,Volume,2015,Number of cases,969
Regional,British Columbia,Knee Replacement,% Meeting Benchmark,2015,Proportion,26
Regional,British Columbia,Knee Replacement,50th Percentile,2015,Days,296
Regional,British Columbia,Knee Replacement,90th Percentile,2015,Days,413
Regional,British Columbia,Knee Replacement,Volume,2015,Number of cases,860
Regional,British Columbia,Knee Replacement,% Meeting Benchmark,2015,Proportion,63
Regional,British Columbia,Knee Replacement,50th Percentile,2015,Days,134
Regional,British Columbia,Knee Replacement,90th Percentile,2015,Days,342
Regional,British Columbia,Knee Replacement,Volume,2015,Number of cases,241
Provincial,British Columbia,Lung Cancer Surgery,50th Percentile,2015,Days,18
Provincial,British Columbia,Lung Cancer Surgery,90th Percentile,2015,Days,49
Provincial,British Columbia,Lung Cancer Surgery,Volume,2015,Number of cases,339
Provincial,British Columbia,MRI Scan,50th Percentile,2015,Days,n/a
Provincial,British Columbia,MRI Scan,90th Percentile,2015,Days,n/a
Provincial,British Columbia,MRI Scan,Volume,2015,Number of cases,n/a
Provincial,British Columbia,Prostate Cancer Surgery,50th Percentile,2015,Days,33
Provincial,British Columbia,Prostate Cancer Surgery,90th Percentile,2015,Days,66
Provincial,British Columbia,Prostate Cancer Surgery,Volume,2015,Number of cases,395
Provincial,British Columbia,Radiation Therapy,% Meeting Benchmark,2015,Proportion,93
Provincial,British Columbia,Radiation Therapy,50th Percentile,2015,Days,8
Provincial,British Columbia,Radiation Therapy,90th Percentile,2015,Days,25
Provincial,British Columbia,Radiation Therapy,Volume,2015,Number of cases,7029
National,Canada,Bladder Cancer Surgery,50th Percentile,2015,Days,25
National,Canada,Bladder Cancer Surgery,90th Percentile,2015,Days,59
National,Canada,Bladder Cancer Surgery,Volume,2015,Number of cases,11944
National,Canada,Breast Cancer Surgery,50th Percentile,2015,Days,18
National,Canada,Breast Cancer Surgery,90th Percentile,2015,Days,40
National,Canada,Breast Cancer Surgery,Volume,2015,Number of cases,14821
National,Canada,CABG,50th Percentile,2015,Days,7
National,Canada,CABG,90th Percentile,2015,Days,56
National,Canada,CABG,Volume,2015,Number of cases,8784
National,Canada,Cataract Surgery,% Meeting Benchmark,2015,Proportion,76
National,Canada,Cataract Surgery,50th Percentile,2015,Days,58
National,Canada,Cataract Surgery,90th Percentile,2015,Days,179
National,Canada,Cataract Surgery,Volume,2015,Number of cases,165133
National,Canada,Colorectal Cancer Surgery,50th Percentile,2015,Days,20
National,Canada,Colorectal Cancer Surgery,90th Percentile,2015,Days,47
National,Canada,Colorectal Cancer Surgery,Volume,2015,Number of cases,7576
National,Canada,CT Scan,50th Percentile,2015,Days,n/a
National,Canada,CT Scan,90th Percentile,2015,Days,n/a
National,Canada,CT Scan,Volume,2015,Number of cases,n/a
National,Canada,Hip Fracture Repair,% Meeting Benchmark,2015,Proportion,87
National,Canada,Hip Fracture Repair,50th Percentile,2015,Hours,23
National,Canada,Hip Fracture Repair,90th Percentile,2015,Hours,54
National,Canada,Hip Fracture Repair,Volume,2015,Number of cases,11322
National,Canada,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2015,Proportion,n/a
National,Canada,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2015,Hours,n/a
National,Canada,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2015,Hours,n/a
National,Canada,Hip Fracture Repair/Emergency and Inpatient,Volume,2015,Number of cases,n/a
National,Canada,Hip Replacement,% Meeting Benchmark,2015,Proportion,81
National,Canada,Hip Replacement,50th Percentile,2015,Days,93
National,Canada,Hip Replacement,90th Percentile,2015,Days,246
National,Canada,Hip Replacement,Volume,2015,Number of cases,18202
National,Canada,Knee Replacement,% Meeting Benchmark,2015,Proportion,77
National,Canada,Knee Replacement,50th Percentile,2015,Days,110
National,Canada,Knee Replacement,90th Percentile,2015,Days,265
National,Canada,Knee Replacement,Volume,2015,Number of cases,29583
National,Canada,Lung Cancer Surgery,50th Percentile,2015,Days,22
National,Canada,Lung Cancer Surgery,90th Percentile,2015,Days,48
National,Canada,Lung Cancer Surgery,Volume,2015,Number of cases,3947
National,Canada,MRI Scan,50th Percentile,2015,Days,n/a
National,Canada,MRI Scan,90th Percentile,2015,Days,n/a
National,Canada,MRI Scan,Volume,2015,Number of cases,n/a
National,Canada,Prostate Cancer Surgery,50th Percentile,2015,Days,37
National,Canada,Prostate Cancer Surgery,90th Percentile,2015,Days,85
National,Canada,Prostate Cancer Surgery,Volume,2015,Number of cases,3524
National,Canada,Radiation Therapy,% Meeting Benchmark,2015,Proportion,98
National,Canada,Radiation Therapy,50th Percentile,2015,Days,7
National,Canada,Radiation Therapy,90th Percentile,2015,Days,18
National,Canada,Radiation Therapy,Volume,2015,Number of cases,43772
Provincial,Manitoba,Bladder Cancer Surgery,50th Percentile,2015,Days,n/a
Provincial,Manitoba,Bladder Cancer Surgery,90th Percentile,2015,Days,n/a
Provincial,Manitoba,Bladder Cancer Surgery,Volume,2015,Number of cases,n/a
Provincial,Manitoba,Breast Cancer Surgery,50th Percentile,2015,Days,27
Provincial,Manitoba,Breast Cancer Surgery,90th Percentile,2015,Days,46
Provincial,Manitoba,Breast Cancer Surgery,Volume,2015,Number of cases,253
Provincial,Manitoba,CABG,50th Percentile,2015,Days,9
Provincial,Manitoba,CABG,90th Percentile,2015,Days,40
Provincial,Manitoba,CABG,Volume,2015,Number of cases,217
Provincial,Manitoba,Cataract Surgery,% Meeting Benchmark,2015,Proportion,41
Provincial,Manitoba,Cataract Surgery,50th Percentile,2015,Days,122
Provincial,Manitoba,Cataract Surgery,90th Percentile,2015,Days,239
Provincial,Manitoba,Cataract Surgery,Volume,2015,Number of cases,3173
Provincial,Manitoba,Colorectal Cancer Surgery,50th Percentile,2015,Days,n/a
Provincial,Manitoba,Colorectal Cancer Surgery,90th Percentile,2015,Days,n/a
Provincial,Manitoba,Colorectal Cancer Surgery,Volume,2015,Number of cases,n/a
Provincial,Manitoba,CT Scan,50th Percentile,2015,Days,18
Provincial,Manitoba,CT Scan,90th Percentile,2015,Days,28
Provincial,Manitoba,CT Scan,Volume,2015,Number of cases,22292
Provincial,Manitoba,Hip Fracture Repair,% Meeting Benchmark,2015,Proportion,92
Provincial,Manitoba,Hip Fracture Repair,50th Percentile,2015,Hours,19
Provincial,Manitoba,Hip Fracture Repair,90th Percentile,2015,Hours,46
Provincial,Manitoba,Hip Fracture Repair,Volume,2015,Number of cases,543
Provincial,Manitoba,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2015,Proportion,n/a
Provincial,Manitoba,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2015,Hours,n/a
Provincial,Manitoba,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2015,Hours,n/a
Provincial,Manitoba,Hip Fracture Repair/Emergency and Inpatient,Volume,2015,Number of cases,n/a
Provincial,Manitoba,Hip Replacement,% Meeting Benchmark,2015,Proportion,69
Provincial,Manitoba,Hip Replacement,50th Percentile,2015,Days,118
Provincial,Manitoba,Hip Replacement,90th Percentile,2015,Days,339
Provincial,Manitoba,Hip Replacement,Volume,2015,Number of cases,633
Regional,Manitoba,Hip Replacement,% Meeting Benchmark,2015,Proportion,n/a
Regional,Manitoba,Hip Replacement,50th Percentile,2015,Days,n/a
Regional,Manitoba,Hip Replacement,90th Percentile,2015,Days,n/a
Regional,Manitoba,Hip Replacement,Volume,2015,Number of cases,n/a
Regional,Manitoba,Hip Replacement,% Meeting Benchmark,2015,Proportion,59
Regional,Manitoba,Hip Replacement,50th Percentile,2015,Days,156
Regional,Manitoba,Hip Replacement,90th Percentile,2015,Days,251
Regional,Manitoba,Hip Replacement,Volume,2015,Number of cases,80
Regional,Manitoba,Hip Replacement,% Meeting Benchmark,2015,Proportion,85
Regional,Manitoba,Hip Replacement,50th Percentile,2015,Days,101
Regional,Manitoba,Hip Replacement,90th Percentile,2015,Days,224
Regional,Manitoba,Hip Replacement,Volume,2015,Number of cases,27
Regional,Manitoba,Hip Replacement,% Meeting Benchmark,2015,Proportion,n/a
Regional,Manitoba,Hip Replacement,50th Percentile,2015,Days,n/a
Regional,Manitoba,Hip Replacement,90th Percentile,2015,Days,n/a
Regional,Manitoba,Hip Replacement,Volume,2015,Number of cases,n/a
Regional,Manitoba,Hip Replacement,% Meeting Benchmark,2015,Proportion,70
Regional,Manitoba,Hip Replacement,50th Percentile,2015,Days,109
Regional,Manitoba,Hip Replacement,90th Percentile,2015,Days,354
Regional,Manitoba,Hip Replacement,Volume,2015,Number of cases,526
Provincial,Manitoba,Knee Replacement,% Meeting Benchmark,2015,Proportion,64
Provincial,Manitoba,Knee Replacement,50th Percentile,2015,Days,138
Provincial,Manitoba,Knee Replacement,90th Percentile,2015,Days,363
Provincial,Manitoba,Knee Replacement,Volume,2015,Number of cases,1000
Regional,Manitoba,Knee Replacement,% Meeting Benchmark,2015,Proportion,n/a
Regional,Manitoba,Knee Replacement,50th Percentile,2015,Days,n/a
Regional,Manitoba,Knee Replacement,90th Percentile,2015,Days,n/a
Regional,Manitoba,Knee Replacement,Volume,2015,Number of cases,n/a
Regional,Manitoba,Knee Replacement,% Meeting Benchmark,2015,Proportion,43
Regional,Manitoba,Knee Replacement,50th Percentile,2015,Days,197
Regional,Manitoba,Knee Replacement,90th Percentile,2015,Days,291
Regional,Manitoba,Knee Replacement,Volume,2015,Number of cases,110
Regional,Manitoba,Knee Replacement,% Meeting Benchmark,2015,Proportion,79
Regional,Manitoba,Knee Replacement,50th Percentile,2015,Days,131
Regional,Manitoba,Knee Replacement,90th Percentile,2015,Days,284
Regional,Manitoba,Knee Replacement,Volume,2015,Number of cases,99
Regional,Manitoba,Knee Replacement,% Meeting Benchmark,2015,Proportion,n/a
Regional,Manitoba,Knee Replacement,50th Percentile,2015,Days,n/a
Regional,Manitoba,Knee Replacement,90th Percentile,2015,Days,n/a
Regional,Manitoba,Knee Replacement,Volume,2015,Number of cases,n/a
Regional,Manitoba,Knee Replacement,% Meeting Benchmark,2015,Proportion,65
Regional,Manitoba,Knee Replacement,50th Percentile,2015,Days,132
Regional,Manitoba,Knee Replacement,90th Percentile,2015,Days,372
Regional,Manitoba,Knee Replacement,Volume,2015,Number of cases,791
Provincial,Manitoba,Lung Cancer Surgery,50th Percentile,2015,Days,24
Provincial,Manitoba,Lung Cancer Surgery,90th Percentile,2015,Days,34
Provincial,Manitoba,Lung Cancer Surgery,Volume,2015,Number of cases,73
Provincial,Manitoba,MRI Scan,50th Percentile,2015,Days,99
Provincial,Manitoba,MRI Scan,90th Percentile,2015,Days,189
Provincial,Manitoba,MRI Scan,Volume,2015,Number of cases,21277
Provincial,Manitoba,Prostate Cancer Surgery,50th Percentile,2015,Days,n/a
Provincial,Manitoba,Prostate Cancer Surgery,90th Percentile,2015,Days,n/a
Provincial,Manitoba,Prostate Cancer Surgery,Volume,2015,Number of cases,n/a
Provincial,Manitoba,Radiation Therapy,% Meeting Benchmark,2015,Proportion,100
Provincial,Manitoba,Radiation Therapy,50th Percentile,2015,Days,7
Provincial,Manitoba,Radiation Therapy,90th Percentile,2015,Days,22
Provincial,Manitoba,Radiation Therapy,Volume,2015,Number of cases,1607
Provincial,New Brunswick,Bladder Cancer Surgery,50th Percentile,2015,Days,25
Provincial,New Brunswick,Bladder Cancer Surgery,90th Percentile,2015,Days,54
Provincial,New Brunswick,Bladder Cancer Surgery,Volume,2015,Number of cases,258
Provincial,New Brunswick,Breast Cancer Surgery,50th Percentile,2015,Days,19
Provincial,New Brunswick,Breast Cancer Surgery,90th Percentile,2015,Days,41
Provincial,New Brunswick,Breast Cancer Surgery,Volume,2015,Number of cases,394
Provincial,New Brunswick,CABG,50th Percentile,2015,Days,8
Provincial,New Brunswick,CABG,90th Percentile,2015,Days,129
Provincial,New Brunswick,CABG,Volume,2015,Number of cases,216
Provincial,New Brunswick,Cataract Surgery,% Meeting Benchmark,2015,Proportion,80
Provincial,New Brunswick,Cataract Surgery,50th Percentile,2015,Days,48
Provincial,New Brunswick,Cataract Surgery,90th Percentile,2015,Days,161
Provincial,New Brunswick,Cataract Surgery,Volume,2015,Number of cases,5362
Provincial,New Brunswick,Colorectal Cancer Surgery,50th Percentile,2015,Days,20
Provincial,New Brunswick,Colorectal Cancer Surgery,90th Percentile,2015,Days,44
Provincial,New Brunswick,Colorectal Cancer Surgery,Volume,2015,Number of cases,239
Provincial,New Brunswick,CT Scan,50th Percentile,2015,Days,n/a
Provincial,New Brunswick,CT Scan,90th Percentile,2015,Days,n/a
Provincial,New Brunswick,CT Scan,Volume,2015,Number of cases,n/a
Provincial,New Brunswick,Hip Fracture Repair,% Meeting Benchmark,2015,Proportion,86
Provincial,New Brunswick,Hip Fracture Repair,50th Percentile,2015,Hours,21
Provincial,New Brunswick,Hip Fracture Repair,90th Percentile,2015,Hours,58
Provincial,New Brunswick,Hip Fracture Repair,Volume,2015,Number of cases,407
Provincial,New Brunswick,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2015,Proportion,n/a
Provincial,New Brunswick,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2015,Hours,n/a
Provincial,New Brunswick,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2015,Hours,n/a
Provincial,New Brunswick,Hip Fracture Repair/Emergency and Inpatient,Volume,2015,Number of cases,n/a
Provincial,New Brunswick,Hip Replacement,% Meeting Benchmark,2015,Proportion,62
Provincial,New Brunswick,Hip Replacement,50th Percentile,2015,Days,134
Provincial,New Brunswick,Hip Replacement,90th Percentile,2015,Days,456
Provincial,New Brunswick,Hip Replacement,Volume,2015,Number of cases,424
Regional,New Brunswick,Hip Replacement,% Meeting Benchmark,2015,Proportion,n/a
Regional,New Brunswick,Hip Replacement,50th Percentile,2015,Days,n/a
Regional,New Brunswick,Hip Replacement,90th Percentile,2015,Days,n/a
Regional,New Brunswick,Hip Replacement,Volume,2015,Number of cases,n/a
Regional,New Brunswick,Hip Replacement,% Meeting Benchmark,2015,Proportion,n/a
Regional,New Brunswick,Hip Replacement,50th Percentile,2015,Days,n/a
Regional,New Brunswick,Hip Replacement,90th Percentile,2015,Days,n/a
Regional,New Brunswick,Hip Replacement,Volume,2015,Number of cases,n/a
Regional,New Brunswick,Hip Replacement,% Meeting Benchmark,2015,Proportion,n/a
Regional,New Brunswick,Hip Replacement,50th Percentile,2015,Days,n/a
Regional,New Brunswick,Hip Replacement,90th Percentile,2015,Days,n/a
Regional,New Brunswick,Hip Replacement,Volume,2015,Number of cases,n/a
Regional,New Brunswick,Hip Replacement,% Meeting Benchmark,2015,Proportion,n/a
Regional,New Brunswick,Hip Replacement,50th Percentile,2015,Days,n/a
Regional,New Brunswick,Hip Replacement,90th Percentile,2015,Days,n/a
Regional,New Brunswick,Hip Replacement,Volume,2015,Number of cases,n/a
Regional,New Brunswick,Hip Replacement,% Meeting Benchmark,2015,Proportion,69
Regional,New Brunswick,Hip Replacement,50th Percentile,2015,Days,115
Regional,New Brunswick,Hip Replacement,90th Percentile,2015,Days,341
Regional,New Brunswick,Hip Replacement,Volume,2015,Number of cases,273
Regional,New Brunswick,Hip Replacement,% Meeting Benchmark,2015,Proportion,50
Regional,New Brunswick,Hip Replacement,50th Percentile,2015,Days,179
Regional,New Brunswick,Hip Replacement,90th Percentile,2015,Days,636
Regional,New Brunswick,Hip Replacement,Volume,2015,Number of cases,151
Provincial,New Brunswick,Knee Replacement,% Meeting Benchmark,2015,Proportion,55
Provincial,New Brunswick,Knee Replacement,50th Percentile,2015,Days,161
Provincial,New Brunswick,Knee Replacement,90th Percentile,2015,Days,400
Provincial,New Brunswick,Knee Replacement,Volume,2015,Number of cases,841
Regional,New Brunswick,Knee Replacement,% Meeting Benchmark,2015,Proportion,n/a
Regional,New Brunswick,Knee Replacement,50th Percentile,2015,Days,n/a
Regional,New Brunswick,Knee Replacement,90th Percentile,2015,Days,n/a
Regional,New Brunswick,Knee Replacement,Volume,2015,Number of cases,n/a
Regional,New Brunswick,Knee Replacement,% Meeting Benchmark,2015,Proportion,n/a
Regional,New Brunswick,Knee Replacement,50th Percentile,2015,Days,n/a
Regional,New Brunswick,Knee Replacement,90th Percentile,2015,Days,n/a
Regional,New Brunswick,Knee Replacement,Volume,2015,Number of cases,n/a
Regional,New Brunswick,Knee Replacement,% Meeting Benchmark,2015,Proportion,n/a
Regional,New Brunswick,Knee Replacement,50th Percentile,2015,Days,n/a
Regional,New Brunswick,Knee Replacement,90th Percentile,2015,Days,n/a
Regional,New Brunswick,Knee Replacement,Volume,2015,Number of cases,n/a
Regional,New Brunswick,Knee Replacement,% Meeting Benchmark,2015,Proportion,n/a
Regional,New Brunswick,Knee Replacement,50th Percentile,2015,Days,n/a
Regional,New Brunswick,Knee Replacement,90th Percentile,2015,Days,n/a
Regional,New Brunswick,Knee Replacement,Volume,2015,Number of cases,n/a
Regional,New Brunswick,Knee Replacement,% Meeting Benchmark,2015,Proportion,55
Regional,New Brunswick,Knee Replacement,50th Percentile,2015,Days,162
Regional,New Brunswick,Knee Replacement,90th Percentile,2015,Days,385
Regional,New Brunswick,Knee Replacement,Volume,2015,Number of cases,576
Regional,New Brunswick,Knee Replacement,% Meeting Benchmark,2015,Proportion,55
Regional,New Brunswick,Knee Replacement,50th Percentile,2015,Days,160
Regional,New Brunswick,Knee Replacement,90th Percentile,2015,Days,588
Regional,New Brunswick,Knee Replacement,Volume,2015,Number of cases,265
Provincial,New Brunswick,Lung Cancer Surgery,50th Percentile,2015,Days,33
Provincial,New Brunswick,Lung Cancer Surgery,90th Percentile,2015,Days,61
Provincial,New Brunswick,Lung Cancer Surgery,Volume,2015,Number of cases,88
Provincial,New Brunswick,MRI Scan,50th Percentile,2015,Days,n/a
Provincial,New Brunswick,MRI Scan,90th Percentile,2015,Days,n/a
Provincial,New Brunswick,MRI Scan,Volume,2015,Number of cases,n/a
Provincial,New Brunswick,Prostate Cancer Surgery,50th Percentile,2015,Days,43
Provincial,New Brunswick,Prostate Cancer Surgery,90th Percentile,2015,Days,78
Provincial,New Brunswick,Prostate Cancer Surgery,Volume,2015,Number of cases,68
Provincial,New Brunswick,Radiation Therapy,% Meeting Benchmark,2015,Proportion,99
Provincial,New Brunswick,Radiation Therapy,50th Percentile,2015,Days,6
Provincial,New Brunswick,Radiation Therapy,90th Percentile,2015,Days,17
Provincial,New Brunswick,Radiation Therapy,Volume,2015,Number of cases,825
Provincial,Newfoundland and Labrador,Bladder Cancer Surgery,50th Percentile,2015,Days,24
Provincial,Newfoundland and Labrador,Bladder Cancer Surgery,90th Percentile,2015,Days,53
Provincial,Newfoundland and Labrador,Bladder Cancer Surgery,Volume,2015,Number of cases,156
Provincial,Newfoundland and Labrador,Breast Cancer Surgery,50th Percentile,2015,Days,15
Provincial,Newfoundland and Labrador,Breast Cancer Surgery,90th Percentile,2015,Days,29
Provincial,Newfoundland and Labrador,Breast Cancer Surgery,Volume,2015,Number of cases,257
Provincial,Newfoundland and Labrador,CABG,50th Percentile,2015,Days,9
Provincial,Newfoundland and Labrador,CABG,90th Percentile,2015,Days,134
Provincial,Newfoundland and Labrador,CABG,Volume,2015,Number of cases,149
Provincial,Newfoundland and Labrador,Cataract Surgery,% Meeting Benchmark,2015,Proportion,96
Provincial,Newfoundland and Labrador,Cataract Surgery,50th Percentile,2015,Days,40
Provincial,Newfoundland and Labrador,Cataract Surgery,90th Percentile,2015,Days,97
Provincial,Newfoundland and Labrador,Cataract Surgery,Volume,2015,Number of cases,1761
Provincial,Newfoundland and Labrador,Colorectal Cancer Surgery,50th Percentile,2015,Days,13
Provincial,Newfoundland and Labrador,Colorectal Cancer Surgery,90th Percentile,2015,Days,32
Provincial,Newfoundland and Labrador,Colorectal Cancer Surgery,Volume,2015,Number of cases,265
Provincial,Newfoundland and Labrador,CT Scan,50th Percentile,2015,Days,n/a
Provincial,Newfoundland and Labrador,CT Scan,90th Percentile,2015,Days,n/a
Provincial,Newfoundland and Labrador,CT Scan,Volume,2015,Number of cases,39052
Provincial,Newfoundland and Labrador,Hip Fracture Repair,% Meeting Benchmark,2015,Proportion,85
Provincial,Newfoundland and Labrador,Hip Fracture Repair,50th Percentile,2015,Hours,22
