reporting_level,province,indicator,metric,data_year,unit_of_measurement,indicator_result
Provincial,Quebec,Breast Cancer Surgery,50th Percentile,2019FY,Days,20.0
Provincial,Quebec,Breast Cancer Surgery,90th Percentile,2019FY,Days,40.0
Provincial,Quebec,Breast Cancer Surgery,Volume,2019FY,Number of cases,9244.0
Provincial,Quebec,CABG,50th Percentile,2019FY,Days,N/A
Provincial,Quebec,CABG,90th Percentile,2019FY,Days,N/A
Provincial,Quebec,CABG,Volume,2019FY,Number of cases,N/A
Provincial,Quebec,Cataract Surgery,% Meeting Benchmark,2019FY,Proportion,80.3282374100719
Provincial,Quebec,Cataract Surgery,50th Percentile,2019FY,Days,42.0
Provincial,Quebec,Cataract Surgery,90th Percentile,2019FY,Days,156.0
Provincial,Quebec,Cataract Surgery,Volume,2019FY,Number of cases,102304.0
Provincial,Quebec,Colorectal Cancer Surgery,50th Percentile,2019FY,Days,21.0
Provincial,Quebec,Colorectal Cancer Surgery,90th Percentile,2019FY,Days,41.0
Provincial,Quebec,Colorectal Cancer Surgery,Volume,2019FY,Number of cases,4134.0
Provincial,Quebec,CT Scan,50th Percentile,2019FY,Days,N/A
Provincial,Quebec,CT Scan,90th Percentile,2019FY,Days,N/A
Provincial,Quebec,CT Scan,Volume,2019FY,Number of cases,N/A
Provincial,Quebec,Hip Replacement,% Meeting Benchmark,2019FY,Proportion,72.4398131512756
Provincial,Quebec,Hip Replacement,50th Percentile,2019FY,Days,111.0
Provincial,Quebec,Hip Replacement,90th Percentile,2019FY,Days,268.0
Provincial,Quebec,Hip Replacement,Volume,2019FY,Number of cases,8349.0
Provincial,Quebec,Knee Replacement,% Meeting Benchmark,2019FY,Proportion,70.7710699342499
Provincial,Quebec,Knee Replacement,50th Percentile,2019FY,Days,123.0
Provincial,Quebec,Knee Replacement,90th Percentile,2019FY,Days,276.0
Provincial,Quebec,Knee Replacement,Volume,2019FY,Number of cases,11711.0
Provincial,Quebec,Lung Cancer Surgery,50th Percentile,2019FY,Days,27.0
Provincial,Quebec,Lung Cancer Surgery,90th Percentile,2019FY,Days,57.0
Provincial,Quebec,Lung Cancer Surgery,Volume,2019FY,Number of cases,3249.0
Provincial,Quebec,MRI Scan,50th Percentile,2019FY,Days,N/A
Provincial,Quebec,MRI Scan,90th Percentile,2019FY,Days,N/A
Provincial,Quebec,MRI Scan,Volume,2019FY,Number of cases,N/A
Provincial,Quebec,Prostate Cancer Surgery,50th Percentile,2019FY,Days,37.0
Provincial,Quebec,Prostate Cancer Surgery,90th Percentile,2019FY,Days,91.0
Provincial,Quebec,Prostate Cancer Surgery,Volume,2019FY,Number of cases,1755.0
Provincial,Quebec,Radiation Therapy,% Meeting Benchmark,2019FY,Proportion,99.0
Provincial,Quebec,Radiation Therapy,50th Percentile,2019FY,Days,N/A
Provincial,Quebec,Radiation Therapy,90th Percentile,2019FY,Days,N/A
Provincial,Quebec,Radiation Therapy,Volume,2019FY,Number of cases,N/A
Provincial,Saskatchewan,Bladder Cancer Surgery,50th Percentile,2019FY,Days,16.0
Provincial,Saskatchewan,Bladder Cancer Surgery,90th Percentile,2019FY,Days,30.0
Provincial,Saskatchewan,Bladder Cancer Surgery,Volume,2019FY,Number of cases,600.0
Provincial,Saskatchewan,Breast Cancer Surgery,50th Percentile,2019FY,Days,19.0
Provincial,Saskatchewan,Breast Cancer Surgery,90th Percentile,2019FY,Days,36.0
Provincial,Saskatchewan,Breast Cancer Surgery,Volume,2019FY,Number of cases,783.0
Provincial,Saskatchewan,CABG,50th Percentile,2019FY,Days,4.0
Provincial,Saskatchewan,CABG,90th Percentile,2019FY,Days,42.0
Provincial,Saskatchewan,CABG,Volume,2019FY,Number of cases,317.0
Provincial,Saskatchewan,Cataract Surgery,% Meeting Benchmark,2019FY,Proportion,61.7795256236942
Provincial,Saskatchewan,Cataract Surgery,50th Percentile,2019FY,Days,78.0
Provincial,Saskatchewan,Cataract Surgery,90th Percentile,2019FY,Days,244.0
Provincial,Saskatchewan,Cataract Surgery,Volume,2019FY,Number of cases,8137.0
Provincial,Saskatchewan,Colorectal Cancer Surgery,50th Percentile,2019FY,Days,17.0
Provincial,Saskatchewan,Colorectal Cancer Surgery,90th Percentile,2019FY,Days,37.0
Provincial,Saskatchewan,Colorectal Cancer Surgery,Volume,2019FY,Number of cases,382.0
Provincial,Saskatchewan,CT Scan,50th Percentile,2019FY,Days,26.0
Provincial,Saskatchewan,CT Scan,90th Percentile,2019FY,Days,79.0
Provincial,Saskatchewan,CT Scan,Volume,2019FY,Number of cases,49041.0
Provincial,Saskatchewan,Hip Replacement,% Meeting Benchmark,2019FY,Proportion,47.4052478134111
Provincial,Saskatchewan,Hip Replacement,50th Percentile,2019FY,Days,199.0
Provincial,Saskatchewan,Hip Replacement,90th Percentile,2019FY,Days,381.0
Provincial,Saskatchewan,Hip Replacement,Volume,2019FY,Number of cases,1715.0
Provincial,Saskatchewan,Knee Replacement,% Meeting Benchmark,2019FY,Proportion,37.111581920904
Provincial,Saskatchewan,Knee Replacement,50th Percentile,2019FY,Days,266.0
Provincial,Saskatchewan,Knee Replacement,90th Percentile,2019FY,Days,423.0
Provincial,Saskatchewan,Knee Replacement,Volume,2019FY,Number of cases,2832.0
Provincial,Saskatchewan,Lung Cancer Surgery,50th Percentile,2019FY,Days,14.0
Provincial,Saskatchewan,Lung Cancer Surgery,90th Percentile,2019FY,Days,35.0
Provincial,Saskatchewan,Lung Cancer Surgery,Volume,2019FY,Number of cases,165.0
Provincial,Saskatchewan,MRI Scan,50th Percentile,2019FY,Days,45.0
Provincial,Saskatchewan,MRI Scan,90th Percentile,2019FY,Days,278.0
Provincial,Saskatchewan,MRI Scan,Volume,2019FY,Number of cases,25178.0
Provincial,Saskatchewan,Prostate Cancer Surgery,50th Percentile,2019FY,Days,43.0
Provincial,Saskatchewan,Prostate Cancer Surgery,90th Percentile,2019FY,Days,114.0
Provincial,Saskatchewan,Prostate Cancer Surgery,Volume,2019FY,Number of cases,164.0
Provincial,Saskatchewan,Radiation Therapy,% Meeting Benchmark,2019FY,Proportion,96.0
Provincial,Saskatchewan,Radiation Therapy,50th Percentile,2019FY,Days,8.0
Provincial,Saskatchewan,Radiation Therapy,90th Percentile,2019FY,Days,21.0
Provincial,Saskatchewan,Radiation Therapy,Volume,2019FY,Number of cases,2275.0
Provincial,Alberta,Bladder Cancer Surgery,50th Percentile,2020FY,Days,22.0
Provincial,Alberta,Bladder Cancer Surgery,90th Percentile,2020FY,Days,62.0
Provincial,Alberta,Bladder Cancer Surgery,Volume,2020FY,Number of cases,2136.0
Provincial,Alberta,Breast Cancer Surgery,50th Percentile,2020FY,Days,17.0
Provincial,Alberta,Breast Cancer Surgery,90th Percentile,2020FY,Days,36.0
Provincial,Alberta,Breast Cancer Surgery,Volume,2020FY,Number of cases,3298.0
Provincial,Alberta,CABG,50th Percentile,2020FY,Days,6.23
Provincial,Alberta,CABG,90th Percentile,2020FY,Days,86.61
Provincial,Alberta,CABG,Volume,2020FY,Number of cases,901.0
Provincial,Alberta,Cataract Surgery,% Meeting Benchmark,2020FY,Proportion,45.3
Provincial,Alberta,Cataract Surgery,50th Percentile,2020FY,Days,131.0
Provincial,Alberta,Cataract Surgery,90th Percentile,2020FY,Days,370.0
Provincial,Alberta,Cataract Surgery,Volume,2020FY,Number of cases,27342.0
Provincial,Alberta,Colorectal Cancer Surgery,50th Percentile,2020FY,Days,21.0
Provincial,Alberta,Colorectal Cancer Surgery,90th Percentile,2020FY,Days,46.0
Provincial,Alberta,Colorectal Cancer Surgery,Volume,2020FY,Number of cases,1166.0
Provincial,Alberta,CT Scan,50th Percentile,2020FY,Days,15.0
Provincial,Alberta,CT Scan,90th Percentile,2020FY,Days,112.0
Provincial,Alberta,CT Scan,Volume,2020FY,Number of cases,156211.0
Provincial,Alberta,Hip Replacement,% Meeting Benchmark,2020FY,Proportion,51.6
Provincial,Alberta,Hip Replacement,50th Percentile,2020FY,Days,176.0
Provincial,Alberta,Hip Replacement,90th Percentile,2020FY,Days,382.0
Provincial,Alberta,Hip Replacement,Volume,2020FY,Number of cases,3846.0
Provincial,Alberta,Knee Replacement,% Meeting Benchmark,2020FY,Proportion,43.3
Provincial,Alberta,Knee Replacement,50th Percentile,2020FY,Days,206.0
Provincial,Alberta,Knee Replacement,90th Percentile,2020FY,Days,442.0
Provincial,Alberta,Knee Replacement,Volume,2020FY,Number of cases,5063.0
Provincial,Alberta,Lung Cancer Surgery,50th Percentile,2020FY,Days,24.0
Provincial,Alberta,Lung Cancer Surgery,90th Percentile,2020FY,Days,49.0
Provincial,Alberta,Lung Cancer Surgery,Volume,2020FY,Number of cases,692.0
Provincial,Alberta,MRI Scan,50th Percentile,2020FY,Days,42.0
Provincial,Alberta,MRI Scan,90th Percentile,2020FY,Days,338.0
Provincial,Alberta,MRI Scan,Volume,2020FY,Number of cases,121524.0
Provincial,Alberta,Prostate Cancer Surgery,50th Percentile,2020FY,Days,46.0
Provincial,Alberta,Prostate Cancer Surgery,90th Percentile,2020FY,Days,151.0
Provincial,Alberta,Prostate Cancer Surgery,Volume,2020FY,Number of cases,1063.0
Provincial,Alberta,Radiation Therapy,% Meeting Benchmark,2020FY,Proportion,99.1
Provincial,Alberta,Radiation Therapy,50th Percentile,2020FY,Days,9.0
Provincial,Alberta,Radiation Therapy,90th Percentile,2020FY,Days,20.0
Provincial,Alberta,Radiation Therapy,Volume,2020FY,Number of cases,9180.0
Provincial,British Columbia,Bladder Cancer Surgery,50th Percentile,2020FY,Days,21.0
Provincial,British Columbia,Bladder Cancer Surgery,90th Percentile,2020FY,Days,52.0
Provincial,British Columbia,Bladder Cancer Surgery,Volume,2020FY,Number of cases,3690.0
Provincial,British Columbia,Breast Cancer Surgery,50th Percentile,2020FY,Days,17.0
Provincial,British Columbia,Breast Cancer Surgery,90th Percentile,2020FY,Days,40.0
Provincial,British Columbia,Breast Cancer Surgery,Volume,2020FY,Number of cases,3942.0
Provincial,British Columbia,CABG,50th Percentile,2020FY,Days,5.0
Provincial,British Columbia,CABG,90th Percentile,2020FY,Days,60.0
Provincial,British Columbia,CABG,Volume,2020FY,Number of cases,1735.0
Provincial,British Columbia,Cataract Surgery,% Meeting Benchmark,2020FY,Proportion,64.2
Provincial,British Columbia,Cataract Surgery,50th Percentile,2020FY,Days,65.0
Provincial,British Columbia,Cataract Surgery,90th Percentile,2020FY,Days,301.0
Provincial,British Columbia,Cataract Surgery,Volume,2020FY,Number of cases,59633.0
Provincial,British Columbia,Colorectal Cancer Surgery,50th Percentile,2020FY,Days,17.0
Provincial,British Columbia,Colorectal Cancer Surgery,90th Percentile,2020FY,Days,45.0
Provincial,British Columbia,Colorectal Cancer Surgery,Volume,2020FY,Number of cases,1730.0
Provincial,British Columbia,CT Scan,50th Percentile,2020FY,Days,22.0
Provincial,British Columbia,CT Scan,90th Percentile,2020FY,Days,143.0
Provincial,British Columbia,CT Scan,Volume,2020FY,Number of cases,271002.0
Provincial,British Columbia,Hip Replacement,% Meeting Benchmark,2020FY,Proportion,63.5
Provincial,British Columbia,Hip Replacement,50th Percentile,2020FY,Days,135.0
Provincial,British Columbia,Hip Replacement,90th Percentile,2020FY,Days,322.0
Provincial,British Columbia,Hip Replacement,Volume,2020FY,Number of cases,6378.0
Provincial,British Columbia,Knee Replacement,% Meeting Benchmark,2020FY,Proportion,56.7
Provincial,British Columbia,Knee Replacement,50th Percentile,2020FY,Days,157.0
Provincial,British Columbia,Knee Replacement,90th Percentile,2020FY,Days,370.0
Provincial,British Columbia,Knee Replacement,Volume,2020FY,Number of cases,8988.0
Provincial,British Columbia,Lung Cancer Surgery,50th Percentile,2020FY,Days,16.0
Provincial,British Columbia,Lung Cancer Surgery,90th Percentile,2020FY,Days,42.0
Provincial,British Columbia,Lung Cancer Surgery,Volume,2020FY,Number of cases,996.0
Provincial,British Columbia,MRI Scan,50th Percentile,2020FY,Days,56.0
Provincial,British Columbia,MRI Scan,90th Percentile,2020FY,Days,188.0
Provincial,British Columbia,MRI Scan,Volume,2020FY,Number of cases,157747.0
Provincial,British Columbia,Prostate Cancer Surgery,50th Percentile,2020FY,Days,31.0
Provincial,British Columbia,Prostate Cancer Surgery,90th Percentile,2020FY,Days,82.0
Provincial,British Columbia,Prostate Cancer Surgery,Volume,2020FY,Number of cases,1042.0
Provincial,British Columbia,Radiation Therapy,% Meeting Benchmark,2020FY,Proportion,92.0
Provincial,British Columbia,Radiation Therapy,50th Percentile,2020FY,Days,11.0
Provincial,British Columbia,Radiation Therapy,90th Percentile,2020FY,Days,27.0
Provincial,British Columbia,Radiation Therapy,Volume,2020FY,Number of cases,13000.0
Provincial,Manitoba,Bladder Cancer Surgery,50th Percentile,2020FY,Days,N/A
Provincial,Manitoba,Bladder Cancer Surgery,90th Percentile,2020FY,Days,N/A
Provincial,Manitoba,Bladder Cancer Surgery,Volume,2020FY,Number of cases,N/A
Provincial,Manitoba,Breast Cancer Surgery,50th Percentile,2020FY,Days,19.0
Provincial,Manitoba,Breast Cancer Surgery,90th Percentile,2020FY,Days,62.0
Provincial,Manitoba,Breast Cancer Surgery,Volume,2020FY,Number of cases,514.0
Provincial,Manitoba,CABG,50th Percentile,2020FY,Days,7.0
Provincial,Manitoba,CABG,90th Percentile,2020FY,Days,58.0
Provincial,Manitoba,CABG,Volume,2020FY,Number of cases,310.0
Provincial,Manitoba,Cataract Surgery,% Meeting Benchmark,2020FY,Proportion,35.0
Provincial,Manitoba,Cataract Surgery,50th Percentile,2020FY,Days,168.0
Provincial,Manitoba,Cataract Surgery,90th Percentile,2020FY,Days,440.0
Provincial,Manitoba,Cataract Surgery,Volume,2020FY,Number of cases,6404.0
Provincial,Manitoba,Colorectal Cancer Surgery,50th Percentile,2020FY,Days,N/A
Provincial,Manitoba,Colorectal Cancer Surgery,90th Percentile,2020FY,Days,N/A
Provincial,Manitoba,Colorectal Cancer Surgery,Volume,2020FY,Number of cases,N/A
Provincial,Manitoba,CT Scan,50th Percentile,2020FY,Days,25.0
Provincial,Manitoba,CT Scan,90th Percentile,2020FY,Days,122.0
Provincial,Manitoba,CT Scan,Volume,2020FY,Number of cases,99411.0
Provincial,Manitoba,Hip Replacement,% Meeting Benchmark,2020FY,Proportion,52.0
Provincial,Manitoba,Hip Replacement,50th Percentile,2020FY,Days,174.0
Provincial,Manitoba,Hip Replacement,90th Percentile,2020FY,Days,413.0
Provincial,Manitoba,Hip Replacement,Volume,2020FY,Number of cases,1357.0
Provincial,Manitoba,Knee Replacement,% Meeting Benchmark,2020FY,Proportion,37.0
Provincial,Manitoba,Knee Replacement,50th Percentile,2020FY,Days,245.0
Provincial,Manitoba,Knee Replacement,90th Percentile,2020FY,Days,499.0
Provincial,Manitoba,Knee Replacement,Volume,2020FY,Number of cases,2096.0
Provincial,Manitoba,Lung Cancer Surgery,50th Percentile,2020FY,Days,20.0
Provincial,Manitoba,Lung Cancer Surgery,90th Percentile,2020FY,Days,69.0
Provincial,Manitoba,Lung Cancer Surgery,Volume,2020FY,Number of cases,255.0
Provincial,Manitoba,MRI Scan,50th Percentile,2020FY,Days,71.0
Provincial,Manitoba,MRI Scan,90th Percentile,2020FY,Days,216.0
Provincial,Manitoba,MRI Scan,Volume,2020FY,Number of cases,65654.0
Provincial,Manitoba,Prostate Cancer Surgery,50th Percentile,2020FY,Days,N/A
Provincial,Manitoba,Prostate Cancer Surgery,90th Percentile,2020FY,Days,N/A
Provincial,Manitoba,Prostate Cancer Surgery,Volume,2020FY,Number of cases,N/A
Provincial,Manitoba,Radiation Therapy,% Meeting Benchmark,2020FY,Proportion,100.0
Provincial,Manitoba,Radiation Therapy,50th Percentile,2020FY,Days,10.0
Provincial,Manitoba,Radiation Therapy,90th Percentile,2020FY,Days,24.0
Provincial,Manitoba,Radiation Therapy,Volume,2020FY,Number of cases,3716.0
Provincial,New Brunswick,Bladder Cancer Surgery,50th Percentile,2020FY,Days,25.0
Provincial,New Brunswick,Bladder Cancer Surgery,90th Percentile,2020FY,Days,74.0
Provincial,New Brunswick,Bladder Cancer Surgery,Volume,2020FY,Number of cases,496.0
Provincial,New Brunswick,Breast Cancer Surgery,50th Percentile,2020FY,Days,20.0
Provincial,New Brunswick,Breast Cancer Surgery,90th Percentile,2020FY,Days,48.0
Provincial,New Brunswick,Breast Cancer Surgery,Volume,2020FY,Number of cases,669.0
Provincial,New Brunswick,CABG,50th Percentile,2020FY,Days,8.0
Provincial,New Brunswick,CABG,90th Percentile,2020FY,Days,207.0
Provincial,New Brunswick,CABG,Volume,2020FY,Number of cases,448.0
Provincial,New Brunswick,Cataract Surgery,% Meeting Benchmark,2020FY,Proportion,62.0
Provincial,New Brunswick,Cataract Surgery,50th Percentile,2020FY,Days,73.0
Provincial,New Brunswick,Cataract Surgery,90th Percentile,2020FY,Days,275.0
Provincial,New Brunswick,Cataract Surgery,Volume,2020FY,Number of cases,10410.0
Provincial,New Brunswick,Colorectal Cancer Surgery,50th Percentile,2020FY,Days,22.0
Provincial,New Brunswick,Colorectal Cancer Surgery,90th Percentile,2020FY,Days,52.0
Provincial,New Brunswick,Colorectal Cancer Surgery,Volume,2020FY,Number of cases,452.0
Provincial,New Brunswick,CT Scan,50th Percentile,2020FY,Days,N/A
Provincial,New Brunswick,CT Scan,90th Percentile,2020FY,Days,N/A
Provincial,New Brunswick,CT Scan,Volume,2020FY,Number of cases,N/A
Provincial,New Brunswick,Hip Replacement,% Meeting Benchmark,2020FY,Proportion,36.0
Provincial,New Brunswick,Hip Replacement,50th Percentile,2020FY,Days,265.0
Provincial,New Brunswick,Hip Replacement,90th Percentile,2020FY,Days,511.0
Provincial,New Brunswick,Hip Replacement,Volume,2020FY,Number of cases,1108.0
Provincial,New Brunswick,Knee Replacement,% Meeting Benchmark,2020FY,Proportion,30.0
Provincial,New Brunswick,Knee Replacement,50th Percentile,2020FY,Days,280.0
Provincial,New Brunswick,Knee Replacement,90th Percentile,2020FY,Days,560.0
Provincial,New Brunswick,Knee Replacement,Volume,2020FY,Number of cases,1773.0
Provincial,New Brunswick,Lung Cancer Surgery,50th Percentile,2020FY,Days,32.0
Provincial,New Brunswick,Lung Cancer Surgery,90th Percentile,2020FY,Days,64.0
Provincial,New Brunswick,Lung Cancer Surgery,Volume,2020FY,Number of cases,174.0
Provincial,New Brunswick,MRI Scan,50th Percentile,2020FY,Days,N/A
Provincial,New Brunswick,MRI Scan,90th Percentile,2020FY,Days,N/A
Provincial,New Brunswick,MRI Scan,Volume,2020FY,Number of cases,N/A
Provincial,New Brunswick,Prostate Cancer Surgery,50th Percentile,2020FY,Days,39.0
Provincial,New Brunswick,Prostate Cancer Surgery,90th Percentile,2020FY,Days,98.0
Provincial,New Brunswick,Prostate Cancer Surgery,Volume,2020FY,Number of cases,160.0
Provincial,New Brunswick,Radiation Therapy,% Meeting Benchmark,2020FY,Proportion,95.5586080586081
Provincial,New Brunswick,Radiation Therapy,50th Percentile,2020FY,Days,11.0
Provincial,New Brunswick,Radiation Therapy,90th Percentile,2020FY,Days,24.0
Provincial,New Brunswick,Radiation Therapy,Volume,2020FY,Number of cases,2184.0
Provincial,Newfoundland and Labrador,Bladder Cancer Surgery,50th Percentile,2020FY,Days,21.0
Provincial,Newfoundland and Labrador,Bladder Cancer Surgery,90th Percentile,2020FY,Days,41.0
Provincial,Newfoundland and Labrador,Bladder Cancer Surgery,Volume,2020FY,Number of cases,255.0
Provincial,Newfoundland and Labrador,Breast Cancer Surgery,50th Percentile,2020FY,Days,15.0
Provincial,Newfoundland and Labrador,Breast Cancer Surgery,90th Percentile,2020FY,Days,28.0
Provincial,Newfoundland and Labrador,Breast Cancer Surgery,Volume,2020FY,Number of cases,433.0
Provincial,Newfoundland and Labrador,CABG,50th Percentile,2020FY,Days,14.0
Provincial,Newfoundland and Labrador,CABG,90th Percentile,2020FY,Days,85.0
Provincial,Newfoundland and Labrador,CABG,Volume,2020FY,Number of cases,270.0
Provincial,Newfoundland and Labrador,Cataract Surgery,% Meeting Benchmark,2020FY,Proportion,57.0
Provincial,Newfoundland and Labrador,Cataract Surgery,50th Percentile,2020FY,Days,92.0
Provincial,Newfoundland and Labrador,Cataract Surgery,90th Percentile,2020FY,Days,325.0
Provincial,Newfoundland and Labrador,Cataract Surgery,Volume,2020FY,Number of cases,1823.0
Provincial,Newfoundland and Labrador,Colorectal Cancer Surgery,50th Percentile,2020FY,Days,13.0
Provincial,Newfoundland and Labrador,Colorectal Cancer Surgery,90th Percentile,2020FY,Days,32.0
Provincial,Newfoundland and Labrador,Colorectal Cancer Surgery,Volume,2020FY,Number of cases,307.0
Provincial,Newfoundland and Labrador,CT Scan,50th Percentile,2020FY,Days,N/A
Provincial,Newfoundland and Labrador,CT Scan,90th Percentile,2020FY,Days,N/A
Provincial,Newfoundland and Labrador,CT Scan,Volume,2020FY,Number of cases,78410.0
Provincial,Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2020FY,Proportion,96.0
Provincial,Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2020FY,Hours,25.0
Provincial,Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2020FY,Hours,43.0
Provincial,Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,Volume,2020FY,Number of cases,354.0
Provincial,Newfoundland and Labrador,Hip Replacement,% Meeting Benchmark,2020FY,Proportion,56.0
Provincial,Newfoundland and Labrador,Hip Replacement,50th Percentile,2020FY,Days,155.0
Provincial,Newfoundland and Labrador,Hip Replacement,90th Percentile,2020FY,Days,426.0
Provincial,Newfoundland and Labrador,Hip Replacement,Volume,2020FY,Number of cases,366.0
Provincial,Newfoundland and Labrador,Knee Replacement,% Meeting Benchmark,2020FY,Proportion,33.0
Provincial,Newfoundland and Labrador,Knee Replacement,50th Percentile,2020FY,Days,288.0
Provincial,Newfoundland and Labrador,Knee Replacement,90th Percentile,2020FY,Days,507.0
Provincial,Newfoundland and Labrador,Knee Replacement,Volume,2020FY,Number of cases,445.0
Provincial,Newfoundland and Labrador,Lung Cancer Surgery,50th Percentile,2020FY,Days,20.0
Provincial,Newfoundland and Labrador,Lung Cancer Surgery,90th Percentile,2020FY,Days,34.0
Provincial,Newfoundland and Labrador,Lung Cancer Surgery,Volume,2020FY,Number of cases,68.0
Provincial,Newfoundland and Labrador,MRI Scan,50th Percentile,2020FY,Days,N/A
Provincial,Newfoundland and Labrador,MRI Scan,90th Percentile,2020FY,Days,N/A
Provincial,Newfoundland and Labrador,MRI Scan,Volume,2020FY,Number of cases,18833.0
Provincial,Newfoundland and Labrador,Prostate Cancer Surgery,50th Percentile,2020FY,Days,33.0
Provincial,Newfoundland and Labrador,Prostate Cancer Surgery,90th Percentile,2020FY,Days,41.0
Provincial,Newfoundland and Labrador,Prostate Cancer Surgery,Volume,2020FY,Number of cases,97.0
Provincial,Newfoundland and Labrador,Radiation Therapy,% Meeting Benchmark,2020FY,Proportion,99.0
Provincial,Newfoundland and Labrador,Radiation Therapy,50th Percentile,2020FY,Days,15.0
Provincial,Newfoundland and Labrador,Radiation Therapy,90th Percentile,2020FY,Days,22.0
Provincial,Newfoundland and Labrador,Radiation Therapy,Volume,2020FY,Number of cases,965.0
Provincial,Nova Scotia,Bladder Cancer Surgery,50th Percentile,2020FY,Days,29.0
Provincial,Nova Scotia,Bladder Cancer Surgery,90th Percentile,2020FY,Days,120.0
Provincial,Nova Scotia,Bladder Cancer Surgery,Volume,2020FY,Number of cases,815.0
Provincial,Nova Scotia,Breast Cancer Surgery,50th Percentile,2020FY,Days,16.0
Provincial,Nova Scotia,Breast Cancer Surgery,90th Percentile,2020FY,Days,35.0
Provincial,Nova Scotia,Breast Cancer Surgery,Volume,2020FY,Number of cases,731.0
Provincial,Nova Scotia,CABG,50th Percentile,2020FY,Days,8.0
Provincial,Nova Scotia,CABG,90th Percentile,2020FY,Days,86.0
Provincial,Nova Scotia,CABG,Volume,2020FY,Number of cases,317.0
Provincial,Nova Scotia,Cataract Surgery,% Meeting Benchmark,2020FY,Proportion,52.0
Provincial,Nova Scotia,Cataract Surgery,50th Percentile,2020FY,Days,106.0
Provincial,Nova Scotia,Cataract Surgery,90th Percentile,2020FY,Days,392.0
Provincial,Nova Scotia,Cataract Surgery,Volume,2020FY,Number of cases,7203.0
Provincial,Nova Scotia,Colorectal Cancer Surgery,50th Percentile,2020FY,Days,23.0
Provincial,Nova Scotia,Colorectal Cancer Surgery,90th Percentile,2020FY,Days,55.0
Provincial,Nova Scotia,Colorectal Cancer Surgery,Volume,2020FY,Number of cases,405.0
Provincial,Nova Scotia,CT Scan,50th Percentile,2020FY,Days,26.0
Provincial,Nova Scotia,CT Scan,90th Percentile,2020FY,Days,146.0
Provincial,Nova Scotia,CT Scan,Volume,2020FY,Number of cases,101858.0
Provincial,Nova Scotia,Hip Replacement,% Meeting Benchmark,2020FY,Proportion,56.2
Provincial,Nova Scotia,Hip Replacement,50th Percentile,2020FY,Days,153.0
Provincial,Nova Scotia,Hip Replacement,90th Percentile,2020FY,Days,569.0
Provincial,Nova Scotia,Hip Replacement,Volume,2020FY,Number of cases,1258.0
Provincial,Nova Scotia,Knee Replacement,% Meeting Benchmark,2020FY,Proportion,39.5
Provincial,Nova Scotia,Knee Replacement,50th Percentile,2020FY,Days,260.0
Provincial,Nova Scotia,Knee Replacement,90th Percentile,2020FY,Days,663.0
Provincial,Nova Scotia,Knee Replacement,Volume,2020FY,Number of cases,1859.0
Provincial,Nova Scotia,Lung Cancer Surgery,50th Percentile,2020FY,Days,21.0
Provincial,Nova Scotia,Lung Cancer Surgery,90th Percentile,2020FY,Days,88.0
Provincial,Nova Scotia,Lung Cancer Surgery,Volume,2020FY,Number of cases,327.0
Provincial,Nova Scotia,MRI Scan,50th Percentile,2020FY,Days,53.0
Provincial,Nova Scotia,MRI Scan,90th Percentile,2020FY,Days,301.0
Provincial,Nova Scotia,MRI Scan,Volume,2020FY,Number of cases,32579.0
Provincial,Nova Scotia,Prostate Cancer Surgery,50th Percentile,2020FY,Days,41.0
Provincial,Nova Scotia,Prostate Cancer Surgery,90th Percentile,2020FY,Days,118.0
Provincial,Nova Scotia,Prostate Cancer Surgery,Volume,2020FY,Number of cases,221.0
Provincial,Nova Scotia,Radiation Therapy,% Meeting Benchmark,2020FY,Proportion,98.5
Provincial,Nova Scotia,Radiation Therapy,50th Percentile,2020FY,Days,10.0
Provincial,Nova Scotia,Radiation Therapy,90th Percentile,2020FY,Days,21.0
Provincial,Nova Scotia,Radiation Therapy,Volume,2020FY,Number of cases,3064.0
Provincial,Ontario,Bladder Cancer Surgery,50th Percentile,2020FY,Days,21.0
Provincial,Ontario,Bladder Cancer Surgery,90th Percentile,2020FY,Days,66.0
Provincial,Ontario,Bladder Cancer Surgery,Volume,2020FY,Number of cases,10483.0
Provincial,Ontario,Breast Cancer Surgery,50th Percentile,2020FY,Days,16.0
Provincial,Ontario,Breast Cancer Surgery,90th Percentile,2020FY,Days,34.0
Provincial,Ontario,Breast Cancer Surgery,Volume,2020FY,Number of cases,10405.0
Provincial,Ontario,CABG,50th Percentile,2020FY,Days,6.0
Provincial,Ontario,CABG,90th Percentile,2020FY,Days,58.0
Provincial,Ontario,CABG,Volume,2020FY,Number of cases,5412.0
Provincial,Ontario,Cataract Surgery,% Meeting Benchmark,2020FY,Proportion,58.5976804024732
Provincial,Ontario,Cataract Surgery,50th Percentile,2020FY,Days,81.0
Provincial,Ontario,Cataract Surgery,90th Percentile,2020FY,Days,311.0
Provincial,Ontario,Cataract Surgery,Volume,2020FY,Number of cases,104156.0
Provincial,Ontario,Colorectal Cancer Surgery,50th Percentile,2020FY,Days,17.0
