reporting_level,province,region,indicator,metric,data_year,unit_of_measurement,indicator_result
Provincial,British Columbia,,Radiation Therapy,50th Percentile,2020,Days,12.0
Provincial,British Columbia,,Radiation Therapy,90th Percentile,2020,Days,28.0
Provincial,British Columbia,,Radiation Therapy,Volume,2020,Number of cases,6596.0
Provincial,Manitoba,,Bladder Cancer Surgery,50th Percentile,2020,Days,N/A
Provincial,Manitoba,,Bladder Cancer Surgery,90th Percentile,2020,Days,N/A
Provincial,Manitoba,,Bladder Cancer Surgery,Volume,2020,Number of cases,N/A
Provincial,Manitoba,,Breast Cancer Surgery,50th Percentile,2020,Days,22.0
Provincial,Manitoba,,Breast Cancer Surgery,90th Percentile,2020,Days,67.0
Provincial,Manitoba,,Breast Cancer Surgery,Volume,2020,Number of cases,199.0
Provincial,Manitoba,,CABG,50th Percentile,2020,Days,7.0
Provincial,Manitoba,,CABG,90th Percentile,2020,Days,41.0
Provincial,Manitoba,,CABG,Volume,2020,Number of cases,165.0
Provincial,Manitoba,,Cataract Surgery,% Meeting Benchmark,2020,Proportion,21.0
Provincial,Manitoba,,Cataract Surgery,50th Percentile,2020,Days,214.0
Provincial,Manitoba,,Cataract Surgery,90th Percentile,2020,Days,448.0
Provincial,Manitoba,,Cataract Surgery,Volume,2020,Number of cases,2646.0
Provincial,Manitoba,,Colorectal Cancer Surgery,50th Percentile,2020,Days,N/A
Provincial,Manitoba,,Colorectal Cancer Surgery,90th Percentile,2020,Days,N/A
Provincial,Manitoba,,Colorectal Cancer Surgery,Volume,2020,Number of cases,N/A
Provincial,Manitoba,,CT Scan,50th Percentile,2020,Days,21.0
Provincial,Manitoba,,CT Scan,90th Percentile,2020,Days,114.0
Provincial,Manitoba,,CT Scan,Volume,2020,Number of cases,43330.0
Provincial,Manitoba,,Hip Fracture Repair,% Meeting Benchmark,2020,Proportion,91.4754098360656
Provincial,Manitoba,,Hip Fracture Repair,50th Percentile,2020,Hours,17.65
Provincial,Manitoba,,Hip Fracture Repair,90th Percentile,2020,Hours,44.7083333333333
Provincial,Manitoba,,Hip Fracture Repair,Volume,2020,Number of cases,610.0
Provincial,Manitoba,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2020,Proportion,N/A
Provincial,Manitoba,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2020,Hours,N/A
Provincial,Manitoba,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2020,Hours,N/A
Provincial,Manitoba,,Hip Fracture Repair/Emergency and Inpatient,Volume,2020,Number of cases,N/A
Provincial,Manitoba,,Hip Replacement,% Meeting Benchmark,2020,Proportion,47.0
Provincial,Manitoba,,Hip Replacement,50th Percentile,2020,Days,196.0
Provincial,Manitoba,,Hip Replacement,90th Percentile,2020,Days,389.0
Provincial,Manitoba,,Hip Replacement,Volume,2020,Number of cases,719.0
Provincial,Manitoba,,Knee Replacement,% Meeting Benchmark,2020,Proportion,37.0
Provincial,Manitoba,,Knee Replacement,50th Percentile,2020,Days,238.0
Provincial,Manitoba,,Knee Replacement,90th Percentile,2020,Days,463.0
Provincial,Manitoba,,Knee Replacement,Volume,2020,Number of cases,1150.0
Provincial,Manitoba,,Lung Cancer Surgery,50th Percentile,2020,Days,25.0
Provincial,Manitoba,,Lung Cancer Surgery,90th Percentile,2020,Days,75.0
Provincial,Manitoba,,Lung Cancer Surgery,Volume,2020,Number of cases,127.0
Provincial,Manitoba,,MRI Scan,50th Percentile,2020,Days,83.0
Provincial,Manitoba,,MRI Scan,90th Percentile,2020,Days,204.0
Provincial,Manitoba,,MRI Scan,Volume,2020,Number of cases,27630.0
Provincial,Manitoba,,Prostate Cancer Surgery,50th Percentile,2020,Days,N/A
Provincial,Manitoba,,Prostate Cancer Surgery,90th Percentile,2020,Days,N/A
Provincial,Manitoba,,Prostate Cancer Surgery,Volume,2020,Number of cases,N/A
Provincial,Manitoba,,Radiation Therapy,% Meeting Benchmark,2020,Proportion,100.0
Provincial,Manitoba,,Radiation Therapy,50th Percentile,2020,Days,9.0
Provincial,Manitoba,,Radiation Therapy,90th Percentile,2020,Days,24.0
Provincial,Manitoba,,Radiation Therapy,Volume,2020,Number of cases,1850.0
Provincial,New Brunswick,,Bladder Cancer Surgery,50th Percentile,2020,Days,25.0
Provincial,New Brunswick,,Bladder Cancer Surgery,90th Percentile,2020,Days,92.0
Provincial,New Brunswick,,Bladder Cancer Surgery,Volume,2020,Number of cases,249.0
Provincial,New Brunswick,,Breast Cancer Surgery,50th Percentile,2020,Days,20.0
Provincial,New Brunswick,,Breast Cancer Surgery,90th Percentile,2020,Days,43.0
Provincial,New Brunswick,,Breast Cancer Surgery,Volume,2020,Number of cases,287.0
Provincial,New Brunswick,,CABG,50th Percentile,2020,Days,8.0
Provincial,New Brunswick,,CABG,90th Percentile,2020,Days,183.0
Provincial,New Brunswick,,CABG,Volume,2020,Number of cases,216.0
Provincial,New Brunswick,,Cataract Surgery,% Meeting Benchmark,2020,Proportion,53.0
Provincial,New Brunswick,,Cataract Surgery,50th Percentile,2020,Days,98.0
Provincial,New Brunswick,,Cataract Surgery,90th Percentile,2020,Days,292.0
Provincial,New Brunswick,,Cataract Surgery,Volume,2020,Number of cases,4540.0
Provincial,New Brunswick,,Colorectal Cancer Surgery,50th Percentile,2020,Days,17.0
Provincial,New Brunswick,,Colorectal Cancer Surgery,90th Percentile,2020,Days,46.0
Provincial,New Brunswick,,Colorectal Cancer Surgery,Volume,2020,Number of cases,173.0
Provincial,New Brunswick,,CT Scan,50th Percentile,2020,Days,N/A
Provincial,New Brunswick,,CT Scan,90th Percentile,2020,Days,N/A
Provincial,New Brunswick,,CT Scan,Volume,2020,Number of cases,N/A
Provincial,New Brunswick,,Hip Fracture Repair,% Meeting Benchmark,2020,Proportion,91.1051212938005
Provincial,New Brunswick,,Hip Fracture Repair,50th Percentile,2020,Hours,17.95
Provincial,New Brunswick,,Hip Fracture Repair,90th Percentile,2020,Hours,46.7833333333333
Provincial,New Brunswick,,Hip Fracture Repair,Volume,2020,Number of cases,371.0
Provincial,New Brunswick,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2020,Proportion,N/A
Provincial,New Brunswick,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2020,Hours,N/A
Provincial,New Brunswick,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2020,Hours,N/A
Provincial,New Brunswick,,Hip Fracture Repair/Emergency and Inpatient,Volume,2020,Number of cases,N/A
Provincial,New Brunswick,,Hip Replacement,% Meeting Benchmark,2020,Proportion,29.0
Provincial,New Brunswick,,Hip Replacement,50th Percentile,2020,Days,268.0
Provincial,New Brunswick,,Hip Replacement,90th Percentile,2020,Days,547.0
Provincial,New Brunswick,,Hip Replacement,Volume,2020,Number of cases,446.0
Provincial,New Brunswick,,Knee Replacement,% Meeting Benchmark,2020,Proportion,25.0
Provincial,New Brunswick,,Knee Replacement,50th Percentile,2020,Days,296.0
Provincial,New Brunswick,,Knee Replacement,90th Percentile,2020,Days,568.0
Provincial,New Brunswick,,Knee Replacement,Volume,2020,Number of cases,650.0
Provincial,New Brunswick,,Lung Cancer Surgery,50th Percentile,2020,Days,32.0
Provincial,New Brunswick,,Lung Cancer Surgery,90th Percentile,2020,Days,68.0
Provincial,New Brunswick,,Lung Cancer Surgery,Volume,2020,Number of cases,76.0
Provincial,New Brunswick,,MRI Scan,50th Percentile,2020,Days,N/A
Provincial,New Brunswick,,MRI Scan,90th Percentile,2020,Days,N/A
Provincial,New Brunswick,,MRI Scan,Volume,2020,Number of cases,N/A
Provincial,New Brunswick,,Prostate Cancer Surgery,50th Percentile,2020,Days,43.0
Provincial,New Brunswick,,Prostate Cancer Surgery,90th Percentile,2020,Days,99.0
Provincial,New Brunswick,,Prostate Cancer Surgery,Volume,2020,Number of cases,65.0
Provincial,New Brunswick,,Radiation Therapy,% Meeting Benchmark,2020,Proportion,95.3
Provincial,New Brunswick,,Radiation Therapy,50th Percentile,2020,Days,10.0
Provincial,New Brunswick,,Radiation Therapy,90th Percentile,2020,Days,23.0
Provincial,New Brunswick,,Radiation Therapy,Volume,2020,Number of cases,1034.0
Provincial,Newfoundland and Labrador,,Bladder Cancer Surgery,50th Percentile,2020,Days,20.0
Provincial,Newfoundland and Labrador,,Bladder Cancer Surgery,90th Percentile,2020,Days,51.0
Provincial,Newfoundland and Labrador,,Bladder Cancer Surgery,Volume,2020,Number of cases,114.0
Provincial,Newfoundland and Labrador,,Breast Cancer Surgery,50th Percentile,2020,Days,14.0
Provincial,Newfoundland and Labrador,,Breast Cancer Surgery,90th Percentile,2020,Days,30.0
Provincial,Newfoundland and Labrador,,Breast Cancer Surgery,Volume,2020,Number of cases,165.0
Provincial,Newfoundland and Labrador,,CABG,50th Percentile,2020,Days,9.0
Provincial,Newfoundland and Labrador,,CABG,90th Percentile,2020,Days,42.0
Provincial,Newfoundland and Labrador,,CABG,Volume,2020,Number of cases,116.0
Provincial,Newfoundland and Labrador,,Cataract Surgery,% Meeting Benchmark,2020,Proportion,33.0
Provincial,Newfoundland and Labrador,,Cataract Surgery,50th Percentile,2020,Days,264.0
Provincial,Newfoundland and Labrador,,Cataract Surgery,90th Percentile,2020,Days,474.0
Provincial,Newfoundland and Labrador,,Cataract Surgery,Volume,2020,Number of cases,527.0
Provincial,Newfoundland and Labrador,,Colorectal Cancer Surgery,50th Percentile,2020,Days,12.0
Provincial,Newfoundland and Labrador,,Colorectal Cancer Surgery,90th Percentile,2020,Days,33.0
Provincial,Newfoundland and Labrador,,Colorectal Cancer Surgery,Volume,2020,Number of cases,122.0
Provincial,Newfoundland and Labrador,,CT Scan,50th Percentile,2020,Days,N/A
Provincial,Newfoundland and Labrador,,CT Scan,90th Percentile,2020,Days,N/A
Provincial,Newfoundland and Labrador,,CT Scan,Volume,2020,Number of cases,34588.0
Provincial,Newfoundland and Labrador,,Hip Fracture Repair,% Meeting Benchmark,2020,Proportion,85.6589147286822
Provincial,Newfoundland and Labrador,,Hip Fracture Repair,50th Percentile,2020,Hours,25.0333333333333
Provincial,Newfoundland and Labrador,,Hip Fracture Repair,90th Percentile,2020,Hours,64.8333333333333
Provincial,Newfoundland and Labrador,,Hip Fracture Repair,Volume,2020,Number of cases,258.0
Provincial,Newfoundland and Labrador,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2020,Proportion,95.0
Provincial,Newfoundland and Labrador,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2020,Hours,24.52
Provincial,Newfoundland and Labrador,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2020,Hours,44.32
Provincial,Newfoundland and Labrador,,Hip Fracture Repair/Emergency and Inpatient,Volume,2020,Number of cases,174.0
Provincial,Newfoundland and Labrador,,Hip Replacement,% Meeting Benchmark,2020,Proportion,45.0
Provincial,Newfoundland and Labrador,,Hip Replacement,50th Percentile,2020,Days,204.0
Provincial,Newfoundland and Labrador,,Hip Replacement,90th Percentile,2020,Days,380.0
Provincial,Newfoundland and Labrador,,Hip Replacement,Volume,2020,Number of cases,163.0
Provincial,Newfoundland and Labrador,,Knee Replacement,% Meeting Benchmark,2020,Proportion,21.0
Provincial,Newfoundland and Labrador,,Knee Replacement,50th Percentile,2020,Days,286.0
Provincial,Newfoundland and Labrador,,Knee Replacement,90th Percentile,2020,Days,461.0
Provincial,Newfoundland and Labrador,,Knee Replacement,Volume,2020,Number of cases,229.0
Provincial,Newfoundland and Labrador,,Lung Cancer Surgery,50th Percentile,2020,Days,19.0
Provincial,Newfoundland and Labrador,,Lung Cancer Surgery,90th Percentile,2020,Days,34.0
Provincial,Newfoundland and Labrador,,Lung Cancer Surgery,Volume,2020,Number of cases,32.0
Provincial,Newfoundland and Labrador,,MRI Scan,50th Percentile,2020,Days,N/A
Provincial,Newfoundland and Labrador,,MRI Scan,90th Percentile,2020,Days,N/A
Provincial,Newfoundland and Labrador,,MRI Scan,Volume,2020,Number of cases,8042.0
Provincial,Newfoundland and Labrador,,Prostate Cancer Surgery,50th Percentile,2020,Days,51.0
Provincial,Newfoundland and Labrador,,Prostate Cancer Surgery,90th Percentile,2020,Days,128.0
Provincial,Newfoundland and Labrador,,Prostate Cancer Surgery,Volume,2020,Number of cases,48.0
Provincial,Newfoundland and Labrador,,Radiation Therapy,% Meeting Benchmark,2020,Proportion,99.0
Provincial,Newfoundland and Labrador,,Radiation Therapy,50th Percentile,2020,Days,16.0
Provincial,Newfoundland and Labrador,,Radiation Therapy,90th Percentile,2020,Days,22.0
Provincial,Newfoundland and Labrador,,Radiation Therapy,Volume,2020,Number of cases,528.0
Provincial,Nova Scotia,,Bladder Cancer Surgery,50th Percentile,2020,Days,28.0
Provincial,Nova Scotia,,Bladder Cancer Surgery,90th Percentile,2020,Days,122.0
Provincial,Nova Scotia,,Bladder Cancer Surgery,Volume,2020,Number of cases,333.0
Provincial,Nova Scotia,,Breast Cancer Surgery,50th Percentile,2020,Days,16.0
Provincial,Nova Scotia,,Breast Cancer Surgery,90th Percentile,2020,Days,35.0
Provincial,Nova Scotia,,Breast Cancer Surgery,Volume,2020,Number of cases,338.0
Provincial,Nova Scotia,,CABG,50th Percentile,2020,Days,9.0
Provincial,Nova Scotia,,CABG,90th Percentile,2020,Days,94.0
Provincial,Nova Scotia,,CABG,Volume,2020,Number of cases,138.0
Provincial,Nova Scotia,,Cataract Surgery,% Meeting Benchmark,2020,Proportion,30.0
Provincial,Nova Scotia,,Cataract Surgery,50th Percentile,2020,Days,185.0
Provincial,Nova Scotia,,Cataract Surgery,90th Percentile,2020,Days,394.0
Provincial,Nova Scotia,,Cataract Surgery,Volume,2020,Number of cases,2093.0
Provincial,Nova Scotia,,Colorectal Cancer Surgery,50th Percentile,2020,Days,24.0
Provincial,Nova Scotia,,Colorectal Cancer Surgery,90th Percentile,2020,Days,59.0
Provincial,Nova Scotia,,Colorectal Cancer Surgery,Volume,2020,Number of cases,184.0
Provincial,Nova Scotia,,CT Scan,50th Percentile,2020,Days,21.0
Provincial,Nova Scotia,,CT Scan,90th Percentile,2020,Days,152.0
Provincial,Nova Scotia,,CT Scan,Volume,2020,Number of cases,23672.0
Provincial,Nova Scotia,,Hip Fracture Repair,% Meeting Benchmark,2020,Proportion,87.7049180327869
Provincial,Nova Scotia,,Hip Fracture Repair,50th Percentile,2020,Hours,21.5583333333333
Provincial,Nova Scotia,,Hip Fracture Repair,90th Percentile,2020,Hours,52.2666666666667
Provincial,Nova Scotia,,Hip Fracture Repair,Volume,2020,Number of cases,488.0
Provincial,Nova Scotia,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2020,Proportion,N/A
Provincial,Nova Scotia,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2020,Hours,N/A
Provincial,Nova Scotia,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2020,Hours,N/A
Provincial,Nova Scotia,,Hip Fracture Repair/Emergency and Inpatient,Volume,2020,Number of cases,N/A
Provincial,Nova Scotia,,Hip Replacement,% Meeting Benchmark,2020,Proportion,47.0
Provincial,Nova Scotia,,Hip Replacement,50th Percentile,2020,Days,190.0
Provincial,Nova Scotia,,Hip Replacement,90th Percentile,2020,Days,474.0
Provincial,Nova Scotia,,Hip Replacement,Volume,2020,Number of cases,390.0
Provincial,Nova Scotia,,Knee Replacement,% Meeting Benchmark,2020,Proportion,31.0
Provincial,Nova Scotia,,Knee Replacement,50th Percentile,2020,Days,270.0
Provincial,Nova Scotia,,Knee Replacement,90th Percentile,2020,Days,652.0
Provincial,Nova Scotia,,Knee Replacement,Volume,2020,Number of cases,545.0
Provincial,Nova Scotia,,Lung Cancer Surgery,50th Percentile,2020,Days,21.0
Provincial,Nova Scotia,,Lung Cancer Surgery,90th Percentile,2020,Days,115.0
Provincial,Nova Scotia,,Lung Cancer Surgery,Volume,2020,Number of cases,139.0
Provincial,Nova Scotia,,MRI Scan,50th Percentile,2020,Days,37.0
Provincial,Nova Scotia,,MRI Scan,90th Percentile,2020,Days,287.0
Provincial,Nova Scotia,,MRI Scan,Volume,2020,Number of cases,7683.0
Provincial,Nova Scotia,,Prostate Cancer Surgery,50th Percentile,2020,Days,53.0
Provincial,Nova Scotia,,Prostate Cancer Surgery,90th Percentile,2020,Days,125.0
Provincial,Nova Scotia,,Prostate Cancer Surgery,Volume,2020,Number of cases,99.0
Provincial,Nova Scotia,,Radiation Therapy,% Meeting Benchmark,2020,Proportion,99.0
Provincial,Nova Scotia,,Radiation Therapy,50th Percentile,2020,Days,10.0
Provincial,Nova Scotia,,Radiation Therapy,90th Percentile,2020,Days,21.0
Provincial,Nova Scotia,,Radiation Therapy,Volume,2020,Number of cases,1427.0
Provincial,Ontario,,Bladder Cancer Surgery,50th Percentile,2020,Days,20.0
Provincial,Ontario,,Bladder Cancer Surgery,90th Percentile,2020,Days,80.0
Provincial,Ontario,,Bladder Cancer Surgery,Volume,2020,Number of cases,4799.0
Provincial,Ontario,,Breast Cancer Surgery,50th Percentile,2020,Days,15.0
Provincial,Ontario,,Breast Cancer Surgery,90th Percentile,2020,Days,37.0
Provincial,Ontario,,Breast Cancer Surgery,Volume,2020,Number of cases,4530.0
Provincial,Ontario,,CABG,50th Percentile,2020,Days,5.0
Provincial,Ontario,,CABG,90th Percentile,2020,Days,64.0
Provincial,Ontario,,CABG,Volume,2020,Number of cases,2558.0
Provincial,Ontario,,Cataract Surgery,% Meeting Benchmark,2020,Proportion,39.545874858728
Provincial,Ontario,,Cataract Surgery,50th Percentile,2020,Days,152.0
Provincial,Ontario,,Cataract Surgery,90th Percentile,2020,Days,303.0
Provincial,Ontario,,Cataract Surgery,Volume,2020,Number of cases,29199.0
Provincial,Ontario,,Colorectal Cancer Surgery,50th Percentile,2020,Days,16.0
Provincial,Ontario,,Colorectal Cancer Surgery,90th Percentile,2020,Days,43.0
Provincial,Ontario,,Colorectal Cancer Surgery,Volume,2020,Number of cases,1908.0
Provincial,Ontario,,CT Scan,50th Percentile,2020,Days,3.0
Provincial,Ontario,,CT Scan,90th Percentile,2020,Days,63.0
Provincial,Ontario,,CT Scan,Volume,2020,Number of cases,401108.0
Provincial,Ontario,,Hip Fracture Repair,% Meeting Benchmark,2020,Proportion,84.4266864895001
Provincial,Ontario,,Hip Fracture Repair,50th Percentile,2020,Hours,24.2
Provincial,Ontario,,Hip Fracture Repair,90th Percentile,2020,Hours,59.4833333333333
Provincial,Ontario,,Hip Fracture Repair,Volume,2020,Number of cases,5381.0
Provincial,Ontario,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2020,Proportion,77.4155305275637
Provincial,Ontario,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2020,Hours,29.65
Provincial,Ontario,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2020,Hours,65.9333333333333
Provincial,Ontario,,Hip Fracture Repair/Emergency and Inpatient,Volume,2020,Number of cases,5061.0
Provincial,Ontario,,Hip Replacement,% Meeting Benchmark,2020,Proportion,63.9462223063814
Provincial,Ontario,,Hip Replacement,50th Percentile,2020,Days,141.0
Provincial,Ontario,,Hip Replacement,90th Percentile,2020,Days,321.0
Provincial,Ontario,,Hip Replacement,Volume,2020,Number of cases,5281.0
Provincial,Ontario,,Knee Replacement,% Meeting Benchmark,2020,Proportion,56.463478717814
Provincial,Ontario,,Knee Replacement,50th Percentile,2020,Days,163.0
Provincial,Ontario,,Knee Replacement,90th Percentile,2020,Days,372.0
Provincial,Ontario,,Knee Replacement,Volume,2020,Number of cases,7612.0
Provincial,Ontario,,Lung Cancer Surgery,50th Percentile,2020,Days,18.0
Provincial,Ontario,,Lung Cancer Surgery,90th Percentile,2020,Days,49.0
Provincial,Ontario,,Lung Cancer Surgery,Volume,2020,Number of cases,1295.0
Provincial,Ontario,,MRI Scan,50th Percentile,2020,Days,26.0
Provincial,Ontario,,MRI Scan,90th Percentile,2020,Days,173.0
Provincial,Ontario,,MRI Scan,Volume,2020,Number of cases,246448.0
Provincial,Ontario,,Prostate Cancer Surgery,50th Percentile,2020,Days,41.0
Provincial,Ontario,,Prostate Cancer Surgery,90th Percentile,2020,Days,131.0
Provincial,Ontario,,Prostate Cancer Surgery,Volume,2020,Number of cases,1042.0
Provincial,Ontario,,Radiation Therapy,% Meeting Benchmark,2020,Proportion,98.0
Provincial,Ontario,,Radiation Therapy,50th Percentile,2020,Days,9.0
Provincial,Ontario,,Radiation Therapy,90th Percentile,2020,Days,16.0
Provincial,Ontario,,Radiation Therapy,Volume,2020,Number of cases,16121.0
Provincial,Prince Edward Island,,Bladder Cancer Surgery,50th Percentile,2020,Days,18.5
Provincial,Prince Edward Island,,Bladder Cancer Surgery,90th Percentile,2020,Days,65.2
Provincial,Prince Edward Island,,Bladder Cancer Surgery,Volume,2020,Number of cases,47.0
Provincial,Prince Edward Island,,Breast Cancer Surgery,50th Percentile,2020,Days,11.0
Provincial,Prince Edward Island,,Breast Cancer Surgery,90th Percentile,2020,Days,30.0
Provincial,Prince Edward Island,,Breast Cancer Surgery,Volume,2020,Number of cases,47.0
Provincial,Prince Edward Island,,CABG,50th Percentile,2020,Days,N/A
Provincial,Prince Edward Island,,CABG,90th Percentile,2020,Days,N/A
Provincial,Prince Edward Island,,CABG,Volume,2020,Number of cases,N/A
Provincial,Prince Edward Island,,Cataract Surgery,% Meeting Benchmark,2020,Proportion,15.8
Provincial,Prince Edward Island,,Cataract Surgery,50th Percentile,2020,Days,229.5
Provincial,Prince Edward Island,,Cataract Surgery,90th Percentile,2020,Days,467.4
Provincial,Prince Edward Island,,Cataract Surgery,Volume,2020,Number of cases,628.0
Provincial,Prince Edward Island,,Colorectal Cancer Surgery,50th Percentile,2020,Days,14.0
Provincial,Prince Edward Island,,Colorectal Cancer Surgery,90th Percentile,2020,Days,29.8
Provincial,Prince Edward Island,,Colorectal Cancer Surgery,Volume,2020,Number of cases,52.0
Provincial,Prince Edward Island,,CT Scan,50th Percentile,2020,Days,15.1
Provincial,Prince Edward Island,,CT Scan,90th Percentile,2020,Days,166.0
Provincial,Prince Edward Island,,CT Scan,Volume,2020,Number of cases,5769.0
Provincial,Prince Edward Island,,Hip Fracture Repair,% Meeting Benchmark,2020,Proportion,97.2222222222222
Provincial,Prince Edward Island,,Hip Fracture Repair,50th Percentile,2020,Hours,11.6416666666667
Provincial,Prince Edward Island,,Hip Fracture Repair,90th Percentile,2020,Hours,26.4333333333333
Provincial,Prince Edward Island,,Hip Fracture Repair,Volume,2020,Number of cases,72.0
Provincial,Prince Edward Island,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2020,Proportion,96.9
Provincial,Prince Edward Island,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2020,Hours,9.5
Provincial,Prince Edward Island,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2020,Hours,29.2
Provincial,Prince Edward Island,,Hip Fracture Repair/Emergency and Inpatient,Volume,2020,Number of cases,65.0
Provincial,Prince Edward Island,,Hip Replacement,% Meeting Benchmark,2020,Proportion,56.3
Provincial,Prince Edward Island,,Hip Replacement,50th Percentile,2020,Days,155.6
Provincial,Prince Edward Island,,Hip Replacement,90th Percentile,2020,Days,462.5
Provincial,Prince Edward Island,,Hip Replacement,Volume,2020,Number of cases,119.0
Provincial,Prince Edward Island,,Knee Replacement,% Meeting Benchmark,2020,Proportion,32.4
Provincial,Prince Edward Island,,Knee Replacement,50th Percentile,2020,Days,315.4
Provincial,Prince Edward Island,,Knee Replacement,90th Percentile,2020,Days,503.0
Provincial,Prince Edward Island,,Knee Replacement,Volume,2020,Number of cases,185.0
Provincial,Prince Edward Island,,Lung Cancer Surgery,50th Percentile,2020,Days,N/A
Provincial,Prince Edward Island,,Lung Cancer Surgery,90th Percentile,2020,Days,N/A
Provincial,Prince Edward Island,,Lung Cancer Surgery,Volume,2020,Number of cases,N/A
Provincial,Prince Edward Island,,MRI Scan,50th Percentile,2020,Days,35.2
Provincial,Prince Edward Island,,MRI Scan,90th Percentile,2020,Days,234.1
Provincial,Prince Edward Island,,MRI Scan,Volume,2020,Number of cases,2368.0
Provincial,Prince Edward Island,,Prostate Cancer Surgery,50th Percentile,2020,Days,N/A
Provincial,Prince Edward Island,,Prostate Cancer Surgery,90th Percentile,2020,Days,N/A
Provincial,Prince Edward Island,,Prostate Cancer Surgery,Volume,2020,Number of cases,N/A
Provincial,Prince Edward Island,,Radiation Therapy,% Meeting Benchmark,2020,Proportion,98.3
Provincial,Prince Edward Island,,Radiation Therapy,50th Percentile,2020,Days,11.8
Provincial,Prince Edward Island,,Radiation Therapy,90th Percentile,2020,Days,20.1
Provincial,Prince Edward Island,,Radiation Therapy,Volume,2020,Number of cases,240.0
Provincial,Quebec,,Bladder Cancer Surgery,50th Percentile,2020,Days,24.0
Provincial,Quebec,,Bladder Cancer Surgery,90th Percentile,2020,Days,57.0
Provincial,Quebec,,Bladder Cancer Surgery,Volume,2020,Number of cases,2765.0
Provincial,Quebec,,Breast Cancer Surgery,50th Percentile,2020,Days,18.0
Provincial,Quebec,,Breast Cancer Surgery,90th Percentile,2020,Days,42.0
Provincial,Quebec,,Breast Cancer Surgery,Volume,2020,Number of cases,3207.0
Provincial,Quebec,,CABG,50th Percentile,2020,Days,N/A
Provincial,Quebec,,CABG,90th Percentile,2020,Days,N/A
Provincial,Quebec,,CABG,Volume,2020,Number of cases,2713.0
Provincial,Quebec,,Cataract Surgery,% Meeting Benchmark,2020,Proportion,53.5
Provincial,Quebec,,Cataract Surgery,50th Percentile,2020,Days,99.0
Provincial,Quebec,,Cataract Surgery,90th Percentile,2020,Days,248.0
Provincial,Quebec,,Cataract Surgery,Volume,2020,Number of cases,20890.0
Provincial,Quebec,,Colorectal Cancer Surgery,50th Percentile,2020,Days,19.0
Provincial,Quebec,,Colorectal Cancer Surgery,90th Percentile,2020,Days,44.0
Provincial,Quebec,,Colorectal Cancer Surgery,Volume,2020,Number of cases,1319.0
Provincial,Quebec,,CT Scan,50th Percentile,2020,Days,N/A
Provincial,Quebec,,CT Scan,90th Percentile,2020,Days,N/A
Provincial,Quebec,,CT Scan,Volume,2020,Number of cases,N/A
Provincial,Quebec,,Hip Fracture Repair,% Meeting Benchmark,2020,Proportion,N/A
Provincial,Quebec,,Hip Fracture Repair,50th Percentile,2020,Hours,N/A
Provincial,Quebec,,Hip Fracture Repair,90th Percentile,2020,Hours,N/A
Provincial,Quebec,,Hip Fracture Repair,Volume,2020,Number of cases,N/A
Provincial,Quebec,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2020,Proportion,N/A
Provincial,Quebec,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2020,Hours,N/A
Provincial,Quebec,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2020,Hours,N/A
Provincial,Quebec,,Hip Fracture Repair/Emergency and Inpatient,Volume,2020,Number of cases,N/A
Provincial,Quebec,,Hip Replacement,% Meeting Benchmark,2020,Proportion,55.7
Provincial,Quebec,,Hip Replacement,50th Percentile,2020,Days,163.0
Provincial,Quebec,,Hip Replacement,90th Percentile,2020,Days,342.0
Provincial,Quebec,,Hip Replacement,Volume,2020,Number of cases,2193.0
Provincial,Quebec,,Knee Replacement,% Meeting Benchmark,2020,Proportion,43.4
Provincial,Quebec,,Knee Replacement,50th Percentile,2020,Days,202.0
Provincial,Quebec,,Knee Replacement,90th Percentile,2020,Days,354.0
Provincial,Quebec,,Knee Replacement,Volume,2020,Number of cases,2408.0
Provincial,Quebec,,Lung Cancer Surgery,50th Percentile,2020,Days,24.0
Provincial,Quebec,,Lung Cancer Surgery,90th Percentile,2020,Days,64.0
Provincial,Quebec,,Lung Cancer Surgery,Volume,2020,Number of cases,1136.0
Provincial,Quebec,,MRI Scan,50th Percentile,2020,Days,N/A
